version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v0,2A202601183_NguyenMinhHung,baseline,v0+peb1c8179815b+t2e1d7812adc4,eb1c8179815b,2e1d7812adc4,"baseline (starter prompt + starter declarations, đã thêm 3 tool nhóm ở dạng mô tả vắn tắt như starter)","Đo hành vi chưa tối ưu: prompt starter bảo agent đoán bừa và tự gửi, mô tả tool quá mơ hồ.",case_accuracy@base,,0.75,runs/v0_B_base_yescale_20260729T103332398665.json
v0,2A202601183_NguyenMinhHung,baseline,v0+peb1c8179815b+t2e1d7812adc4,eb1c8179815b,2e1d7812adc4,"baseline (starter prompt + starter declarations, đã thêm 3 tool nhóm ở dạng mô tả vắn tắt như starter)","Đo hành vi chưa tối ưu: prompt starter bảo agent đoán bừa và tự gửi, mô tả tool quá mơ hồ.",case_accuracy@group,,0.6,runs/v0_B_group_yescale_20260729T103556988126.json
v1,2A202601183_NguyenMinhHung,system_prompt.md,v1+p6ea19e92bfda+t2e1d7812adc4,6ea19e92bfda,2e1d7812adc4,system_prompt.md,"Fail chủ yếu là missing_info / wrong_boundary / out_of_scope vì prompt starter cấm hỏi lại và cho phép tự gửi. Viết lại prompt với 5 nguyên tắc (hỏi lại khi thiếu, xác nhận trước khi gửi, ngoài phạm vi không gọi tool, bảng chọn tool, quy ước arg) sẽ kéo case_accuracy lên.",case_accuracy@base,0.75,1.0,runs/v1_B_base_yescale_20260729T103502240132.json
v1,2A202601183_NguyenMinhHung,system_prompt.md,v1+p6ea19e92bfda+t2e1d7812adc4,6ea19e92bfda,2e1d7812adc4,system_prompt.md,"Fail chủ yếu là missing_info / wrong_boundary / out_of_scope vì prompt starter cấm hỏi lại và cho phép tự gửi. Viết lại prompt với 5 nguyên tắc (hỏi lại khi thiếu, xác nhận trước khi gửi, ngoài phạm vi không gọi tool, bảng chọn tool, quy ước arg) sẽ kéo case_accuracy lên.",case_accuracy@group,0.6,0.9,runs/v1_B_group_yescale_20260729T103621753824.json
v2,2A202601183_NguyenMinhHung,tools.yaml,v2+p6ea19e92bfda+tba80f8c36621,6ea19e92bfda,ba80f8c36621,tools.yaml,"v1 đã bão hoà trên base nhưng group vẫn fail vì mô tả tool là câu 3-4 từ ('Xem thời tiết.'), model phải suy đoán ranh giới. Đưa luật routing + quy ước arg vào thẳng description/enum sẽ giữ base 1.0 và bớt phụ thuộc vào prompt.",case_accuracy@base,1.0,1.0,runs/v2_B_base_yescale_20260729T103802007838.json
v2,2A202601183_NguyenMinhHung,tools.yaml,v2+p6ea19e92bfda+tba80f8c36621,6ea19e92bfda,ba80f8c36621,tools.yaml,"v1 đã bão hoà trên base nhưng group vẫn fail vì mô tả tool là câu 3-4 từ ('Xem thời tiết.'), model phải suy đoán ranh giới. Đưa luật routing + quy ước arg vào thẳng description/enum sẽ giữ base 1.0 và bớt phụ thuộc vào prompt.",case_accuracy@group,0.9,0.9,runs/v2_B_group_yescale_20260729T103830666503.json
v3,2A202601183_NguyenMinhHung,system_prompt.md + tools.yaml,v3+p30313fe07c5d+t2f8acacc59f0,30313fe07c5d,2f8acacc59f0,system_prompt.md + tools.yaml,"G05 vẫn fail: request vừa là hành động gửi vừa thiếu chi tiết nội dung, model ưu tiên hỏi mở (response_type=text). Thêm THỨ TỰ ƯU TIÊN rõ ràng (huỷ > ngoài phạm vi > hành động ghi > thiếu thông tin) vào cả prompt và description của clarify/send sẽ đưa group lên 1.0.",case_accuracy@base,1.0,1.0,runs/v3_B_base_yescale_20260729T104058405790.json
v3,2A202601183_NguyenMinhHung,system_prompt.md + tools.yaml,v3+p30313fe07c5d+t2f8acacc59f0,30313fe07c5d,2f8acacc59f0,system_prompt.md + tools.yaml,"G05 vẫn fail: request vừa là hành động gửi vừa thiếu chi tiết nội dung, model ưu tiên hỏi mở (response_type=text). Thêm THỨ TỰ ƯU TIÊN rõ ràng (huỷ > ngoài phạm vi > hành động ghi > thiếu thông tin) vào cả prompt và description của clarify/send sẽ đưa group lên 1.0.",case_accuracy@group,0.9,1.0,runs/v3_B_group_yescale_20260729T104232640868.json
v3,2A202601183_NguyenMinhHung,system_prompt.md + tools.yaml,v3+p30313fe07c5d+t2f8acacc59f0,30313fe07c5d,2f8acacc59f0,system_prompt.md + tools.yaml,"G05 vẫn fail: request vừa là hành động gửi vừa thiếu chi tiết nội dung, model ưu tiên hỏi mở (response_type=text). Thêm THỨ TỰ ƯU TIÊN rõ ràng (huỷ > ngoài phạm vi > hành động ghi > thiếu thông tin) vào cả prompt và description của clarify/send sẽ đưa group lên 1.0.",case_accuracy@extension,,0.6,runs/v3_B_extension_yescale_20260729T104326151227.json
v4,2A202601183_NguyenMinhHung,system_prompt.md + tools.yaml,v4+p00f9546c8ba4+t6ee5ab5c0d16,00f9546c8ba4,6ee5ab5c0d16,"system_prompt.md + tools.yaml (vòng bổ sung, ngoài 3 vòng bắt buộc)",Trên suite extension routing=1.0 nhưng args=0.6: cả 4 case fail đều để policy_area trống/'all'. Enum liệt kê giá trị nhưng không nói khi nào dùng giá trị nào. Thêm từ khoá nhận diện cho từng policy_area sẽ nâng argument_accuracy mà không đụng tới base/group.,case_accuracy@base,1.0,1.0,runs/v4_B_base_yescale_20260729T105619835684.json
v4,2A202601183_NguyenMinhHung,system_prompt.md + tools.yaml,v4+p00f9546c8ba4+t6ee5ab5c0d16,00f9546c8ba4,6ee5ab5c0d16,"system_prompt.md + tools.yaml (vòng bổ sung, ngoài 3 vòng bắt buộc)",Trên suite extension routing=1.0 nhưng args=0.6: cả 4 case fail đều để policy_area trống/'all'. Enum liệt kê giá trị nhưng không nói khi nào dùng giá trị nào. Thêm từ khoá nhận diện cho từng policy_area sẽ nâng argument_accuracy mà không đụng tới base/group.,case_accuracy@group,1.0,1.0,runs/v4_B_group_yescale_20260729T105643069266.json
v4,2A202601183_NguyenMinhHung,system_prompt.md + tools.yaml,v4+p00f9546c8ba4+t6ee5ab5c0d16,00f9546c8ba4,6ee5ab5c0d16,"system_prompt.md + tools.yaml (vòng bổ sung, ngoài 3 vòng bắt buộc)",Trên suite extension routing=1.0 nhưng args=0.6: cả 4 case fail đều để policy_area trống/'all'. Enum liệt kê giá trị nhưng không nói khi nào dùng giá trị nào. Thêm từ khoá nhận diện cho từng policy_area sẽ nâng argument_accuracy mà không đụng tới base/group.,case_accuracy@extension,0.6,0.9,runs/v4_B_extension_yescale_20260729T105537976592.json
